,Silence,DFAexp,sub_id,ch
443,2,0.7889719747435511,52.0,0.0
444,2,0.783414350640048,52.0,1.0
445,2,0.8205318896759424,52.0,2.0
446,2,0.7890605116462182,52.0,3.0
447,2,0.7867420351916712,52.0,4.0
448,2,0.7958694584287327,52.0,5.0
449,2,0.7807940142595864,52.0,6.0
450,2,0.8121659069108299,52.0,7.0
451,2,0.8150133162409884,52.0,8.0
452,2,0.7670782513602666,52.0,9.0
453,2,0.8748595017632685,56.0,0.0
454,2,0.9419395327457473,56.0,1.0
455,2,0.9300347963382762,56.0,2.0
456,2,0.925581112864754,56.0,3.0
457,2,0.8884139337525362,56.0,4.0
458,2,0.8717765441190737,56.0,5.0
459,2,0.8745196177571577,56.0,6.0
460,2,0.8870991396862992,56.0,7.0
461,2,0.8827168946018273,56.0,8.0
462,2,0.7750192665750252,58.0,0.0
463,2,0.7406248717616094,58.0,1.0
464,2,0.7801547563609568,58.0,2.0
465,2,0.7325517479366463,58.0,3.0
466,2,0.7296404870047426,58.0,4.0
467,2,0.803548159939504,58.0,5.0
468,2,0.7334239145999115,58.0,6.0
469,2,0.7568982587226947,58.0,7.0
470,2,0.7101867624202632,58.0,8.0
471,2,0.8290959215996868,62.0,0.0
472,2,0.820980527851532,62.0,1.0
473,2,0.8688924872479074,62.0,2.0
474,2,0.8164371581356897,62.0,3.0
475,2,0.8554793508033383,62.0,4.0
476,2,0.8189001819446293,62.0,5.0
477,2,0.8688666982113796,62.0,6.0
478,2,0.8261729726821496,62.0,7.0
479,2,0.8906472430329866,62.0,8.0
480,2,0.8198280608585321,66.0,0.0
481,2,0.8252925301021864,66.0,1.0
482,2,0.813585747257032,66.0,2.0
483,2,0.8177293854805463,66.0,3.0
484,2,0.8269017957724907,66.0,4.0
485,2,0.8409155908648689,66.0,5.0
486,2,0.8243524719487318,66.0,6.0
487,2,0.8023413941668731,66.0,7.0
488,2,0.8202709818032513,66.0,8.0
489,2,0.8860668305361148,66.0,9.0
490,2,0.8918877514225995,67.0,0.0
491,2,0.9222757757194132,67.0,1.0
492,2,0.9944076474348682,67.0,2.0
493,2,0.9478056154171631,67.0,3.0
494,2,0.9007276094287525,67.0,4.0
495,2,0.9033247535346578,67.0,5.0
496,2,0.8413781175316436,67.0,6.0
497,2,0.9057935579984524,67.0,7.0
498,2,0.8665168582251707,67.0,8.0
499,2,0.8695632910987697,68.0,0.0
500,2,0.8947352347567984,68.0,1.0
501,2,0.8928879670139378,68.0,2.0
502,2,0.885731985757239,68.0,3.0
503,2,0.8677670957917734,68.0,4.0
504,2,0.8241039477924161,68.0,5.0
505,2,0.8078939235857017,68.0,6.0
506,2,0.8243902851699512,68.0,7.0
507,2,0.7925894424308639,68.0,8.0
508,2,0.7841228479119217,71.0,0.0
509,2,0.8043126468753593,71.0,1.0
510,2,0.8557947685004659,71.0,2.0
511,2,0.7935116732861905,71.0,3.0
512,2,0.800704228824811,71.0,4.0
513,2,0.7589477634112887,71.0,5.0
514,2,0.8353982099372339,71.0,6.0
515,2,0.8485319670491835,71.0,7.0
516,2,0.7894871774279217,71.0,8.0
517,2,0.8048876825226644,71.0,9.0
518,2,0.8087566695838966,14.0,0.0
519,2,0.8823160368354014,14.0,1.0
520,2,0.938073185016294,14.0,2.0
521,2,0.9051323313943219,14.0,3.0
522,2,0.8608582847365713,14.0,4.0
523,2,0.8413371505554704,14.0,5.0
524,2,0.8475477470346532,14.0,6.0
525,2,0.7878476944369373,14.0,7.0
526,2,0.8493490848499923,14.0,8.0
527,2,0.7133342967331802,14.0,9.0
528,2,0.7537441818652558,22.0,0.0
529,2,0.7269122117900796,22.0,1.0
530,2,0.7167154960444206,22.0,2.0
531,2,0.6986425846982816,22.0,3.0
532,2,0.7247278830610776,22.0,4.0
533,2,0.7610365294625493,22.0,5.0
534,2,0.7651366176885763,22.0,6.0
535,2,0.738162991605194,22.0,7.0
536,2,0.7984121683562453,27.0,0.0
537,2,0.9185091034146615,27.0,1.0
538,2,0.92190314128453,27.0,2.0
539,2,0.8100723025350391,27.0,3.0
540,2,0.7980944434428695,27.0,4.0
541,2,0.858953984196867,27.0,5.0
542,2,0.8801128124154715,27.0,6.0
543,2,0.933452737898864,27.0,7.0
544,2,0.5611807543274869,27.0,8.0
545,2,0.7559929290842755,41.0,0.0
546,2,0.851358247250334,41.0,1.0
547,2,0.8310484545950279,41.0,2.0
548,2,0.7675940012184439,41.0,3.0
549,2,0.7195001636208898,41.0,4.0
550,2,0.8372560045039287,41.0,5.0
551,2,0.7813249837035863,41.0,6.0
552,2,0.7509294346136983,41.0,7.0
553,2,0.7522596458727768,41.0,8.0
554,2,0.8346865282639749,46.0,0.0
555,2,0.8690514712285805,46.0,1.0
556,2,0.8595886971018905,46.0,2.0
557,2,0.827194985151292,46.0,3.0
558,2,0.8293031385861046,46.0,4.0
559,2,0.8568545660645066,46.0,5.0
560,2,0.9138492025356669,46.0,6.0
561,2,0.8203585657964263,46.0,7.0
562,2,0.8708271052768215,46.0,8.0
563,2,0.7830487057270312,46.0,9.0
564,2,0.7703429639202877,64.0,0.0
565,2,0.8145906904759017,64.0,1.0
566,2,0.8547667378138877,64.0,2.0
567,2,0.8294524865708004,64.0,3.0
568,2,0.8337324565344095,64.0,4.0
569,2,0.8448348435041014,64.0,5.0
570,2,0.8211001931950231,64.0,6.0
571,2,0.7416189627658833,64.0,7.0
572,2,0.8032261816498021,64.0,8.0
573,2,0.8391433573054609,64.0,9.0
